name,supply_type,recruit_date,sub_specific_region_start,sub_specific_region_end,sub_other_region_start,sub_other_region_end,sub_all_region_start,sub_all_region_end,reception_venue,winner_announce_date,winner_announce_link,contract_date_start,contract_date_end,estimated_move_in_date
서울대벤처타운역 푸르지오,1순위,2023-06-22 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,,,인터넷,2023-07-11 00:00:00,https://prugio.com/hc/2023/venturetown ,2023-07-24 00:00:00,2023-07-26 00:00:00,2025-05-01 00:00:00
서울대벤처타운역 푸르지오,2순위,2023-06-22 00:00:00,2023-07-05 00:00:00,2023-07-05 00:00:00,2023-07-05 00:00:00,2023-07-05 00:00:00,,,인터넷,2023-07-11 00:00:00,https://prugio.com/hc/2023/venturetown ,2023-07-24 00:00:00,2023-07-26 00:00:00,2025-05-01 00:00:00
부천 원종 아이원시티(4차),구분없음,2023-06-28 00:00:00,,,,,2023-07-03 00:00:00,2023-07-04 00:00:00,,2023-07-07 00:00:00,,2023-07-14 00:00:00,2023-07-17 00:00:00,2023-07-01 00:00:00
서울대벤처타운역 푸르지오,특별공급,2023-06-22 00:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,,,인터넷,2023-07-11 00:00:00,https://prugio.com/hc/2023/venturetown ,2023-07-24 00:00:00,2023-07-26 00:00:00,2025-05-01 00:00:00
