name,executing_agency,construction_company,business_call
e편한세상 순천 어반타워(계약취소주택),한국자산신탁(주),디엘이앤씨 주식회사,061-755-9710
e편한세상 원주 프리모원(1회차),대한토지신탁(주),DL이앤씨(주),033-743-2455
가양동 다우갤러리 휴리움,동신아파트주택재건축정비사업조합,다우건설 주식회사,1600-0067
강동 중앙하이츠 시티,한국자산신탁(주),중앙건설 주식회사,1877-6875
광명 센트럴 아이파크,광명제4알구역 주택재개발정비사업,에이치디씨현대산업개발 주식회사,031-443-1957
광주 서구 광천동 PH543,주식회사 하나자산신탁,현대엔지니어링(주),1670-5430
남해 타운하우스,주식회사 장안,금강종합건설(주),055-863-1068
대연 디아이엘,대연3구역 주택재개발정비사업조합,"롯데건설(주), HDC현대산업개발",051-954-4488
더샵 신문그리니티,(주)무궁화신탁,(주)포스코이앤씨,1661-3363
동대구역 화성파크드림,신암4동뉴타운주택재건축정비사업조합,화성산업(주),053-353-8922
둔촌 현대수린나,주식회사 대정이앤씨,보훈종합건설(주),02-489-6050
롯데캐슬 이스트폴,롯데건설(주),롯데건설(주),1533-1616
부평 SK VIEW 해모로,부개서초교북측구역주택재개발정비사업조합,,1566-5807
북천안자이 포레스트(2차),지에스건설(주),지에스건설(주),1644-8660
서대구역 서한이다음 더퍼스트,평리6재정비촉진구역 주택재개발정비사업조합,,053-295-0660
서울대벤처타운역 푸르지오,신림3재정비촉진구역주택재개발정비사업조합,(주)대우건설,1599-4948
서울은평뉴타운 디에트르 더 퍼스트,대방건설(주),,031-975-7988
서희스타힐스 스타디움센트럴씨티,인천도원역 지역주택조합,(주)서희건설,032-876-5677
성산 삼정그린코아 웰레스트,창원뉴스테이 주식회사,,1566-8728
순천 한양수자인 디에스티지,우리자산신탁 주식회사,주식회사 한양,1533-7555
시흥 롯데캐슬 시그니처 1블록,한국자산신탁(주),롯데건설(주),1660-2133
시흥 롯데캐슬 시그니처 2블록,한국자산신탁(주),롯데건설(주),1660-2133
신영지웰 푸르지오 테크노폴리스 센트럴 오피스텔,(주)무궁화신탁,,02-3456-0000
에코시티 한양수자인 디에스틴 주상복합,케이비부동산신탁주식회사,주식회사 한양,1644-1007
용산 호반써밋 에이디션,국제빌딩주변 제5구역 도시정비형 재개발사업조합,(주)호반건설,1670-6207
용산 호반써밋 에이디션(오피스텔),국제빌딩주변 제5구역 도시정비형 재개발사업조합,,1670-6207
월명공원 한라비발디 온더파크,주식회사 코람코자산신탁,에이치엘디앤아이한라 주식회사,1800-9118
유보라 신천매곡,(주)무궁화신탁,(주)반도건설,052-266-7200
이안 센트럴포레 장유 1단지,김해장유지역주택조합1단지,대우산업개발(주),055-902-0780
이안 센트럴포레 장유 2단지,김해장유지역주택조합2단지,대우산업개발(주),055-902-0780
이천중리B2-BL 우미린 트리쉐이드,이천중리비투피에프브이(주),"우미건설(주), (주)부원건설",031-633-0026
인천 연희공원 호반써밋 파크에디션,연희파크 주식회사,(주)호반건설,1899-5334
인천 용현 경남아너스빌(조합원취소분),인천용현지역주택조합,경남기업 (주),032-888-5554
일도이동 유피테르 6차,신영부동산신탁 주식회사,주식회사 미래종합건설,064-723-0771
청량리 롯데캐슬 하이루체,청량리제7구역주택재개발정비사업조합,롯데건설(주),1899-9882
춘천 레이크시티 아이파크,주식회사 하나자산신탁,에이치디씨현대산업개발 주식회사,1577-7222
평택 고덕국제신도시 A-49블록 호반써밋 3차(본청약),주식회사 스카이리빙,(주)호반건설,1670-5191
평택 브레인시티 2BL 대광로제비앙 모아엘가,주식회사 포레지아,"(주)로제비앙건설, 혜림건설(주)",1811-8500
해운대 경동리인뷰 2차,우리자산신탁 주식회사,경동건설(주),1577-1542
효성해링턴 플레이스 제주,신한자산신탁 주식회사,진흥기업(주),1811-5678
힐스테이트 속초,(주)무궁화신탁,현대엔지니어링(주),033-947-0925
