name,housing_type,identification_model,residence_type,district,supply_area,standard_unit,specific_unit,multi_child,newlywed_couple,first_time,youth,sup_elder,elder,institute_recommend,moved_institute,ect,support_amount,second_priority_deposit,application_deposit
서희스타힐스 스타디움센트럴씨티,059.9894B,2023000240(02),민영,,88.238,2,0,,,,,,,,,,33552,,
서희스타힐스 스타디움센트럴씨티,084.9171A,2023000240(03),민영,,112.542,3,0,,,,,,,,,,44038,,
서희스타힐스 스타디움센트럴씨티,084.9597B,2023000240(04),민영,,113.234,1,0,,,,,,,,,,43800,,
성산 삼정그린코아 웰레스트,59A,2023850014(01),공공지원민간임대,,,0,,,48,,15,,12,,,,17900,,10
성산 삼정그린코아 웰레스트,59B,2023850014(02),공공지원민간임대,,,0,,,41,,27,,5,,,,17800,,10
성산 삼정그린코아 웰레스트,59C,2023850014(03),공공지원민간임대,,,0,,,27,,28,,5,,,,17700,,10
성산 삼정그린코아 웰레스트,75,2023850014(04),공공지원민간임대,,,0,,,1,,15,,4,,,,21000,,10
성산 삼정그린코아 웰레스트,84,2023850014(05),공공지원민간임대,,,0,,,0,,0,,4,,,,22900,,10
순천 한양수자인 디에스티지,079.9322A,2023930029(01),민영,,104.209,1,0,,,,,,,,,,31400,,
순천 한양수자인 디에스티지,084.9897B,2023930029(02),민영,,110.803,1,0,,,,,,,,,,33450,,
시흥 롯데캐슬 시그니처 1블록,084.8493C,2023000288(03),민영,,121.375,135,130,26,47,23,0,8,,26,0,0,71800,,
시흥 롯데캐슬 시그니처 1블록,084.8882A,2023000288(01),민영,,120.611,330,324,65,117,58,0,19,,65,0,0,72500,,
시흥 롯데캐슬 시그니처 1블록,084.9831B,2023000288(02),민영,,122.454,157,154,31,56,28,0,9,,30,0,0,72500,,
시흥 롯데캐슬 시그니처 2블록,084.8493C,2023000289(03),민영,,119.556,72,66,13,24,12,0,4,,13,0,0,70600,,
시흥 롯데캐슬 시그니처 2블록,084.8882A,2023000289(01),민영,,118.791,242,235,47,85,42,0,14,,47,0,0,71300,,
시흥 롯데캐슬 시그니처 2블록,084.9831B,2023000289(02),민영,,120.632,148,140,28,51,25,0,8,,28,0,0,71300,,
신영지웰 푸르지오 테크노폴리스 센트럴 오피스텔,108OA,2023950039(01),오피스텔,,108.818,156,,,,,,,,,,,47200,,100
