name,supply_type,recruit_date,sub_specific_region_start,sub_specific_region_end,sub_other_region_start,sub_other_region_end,sub_all_region_start,sub_all_region_end,reception_venue,winner_announce_date,winner_announce_link,contract_date_start,contract_date_end,estimated_move_in_date
청량리 롯데캐슬 하이루체,1순위,2023-06-30 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,,,인터넷,2023-07-18 00:00:00,https://www.lottecastle.co.kr ,2023-07-30 00:00:00,2023-08-01 00:00:00,2026-04-01 00:00:00
청량리 롯데캐슬 하이루체,2순위,2023-06-30 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,,,인터넷,2023-07-18 00:00:00,https://www.lottecastle.co.kr ,2023-07-30 00:00:00,2023-08-01 00:00:00,2026-04-01 00:00:00
청량리 롯데캐슬 하이루체,특별공급,2023-06-30 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,,,인터넷,2023-07-18 00:00:00,https://www.lottecastle.co.kr ,2023-07-30 00:00:00,2023-08-01 00:00:00,2026-04-01 00:00:00
춘천 레이크시티 아이파크,1순위,2023-07-07 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,,,인터넷,2023-07-25 00:00:00,https://www.i-park.com/chuncheonlakecity ,2023-08-07 00:00:00,2023-08-09 00:00:00,2026-08-01 00:00:00
춘천 레이크시티 아이파크,2순위,2023-07-07 00:00:00,2023-07-19 00:00:00,2023-07-19 00:00:00,2023-07-19 00:00:00,2023-07-19 00:00:00,,,인터넷,2023-07-25 00:00:00,https://www.i-park.com/chuncheonlakecity ,2023-08-07 00:00:00,2023-08-09 00:00:00,2026-08-01 00:00:00
춘천 레이크시티 아이파크,특별공급,2023-07-07 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,,,인터넷,2023-07-25 00:00:00,https://www.i-park.com/chuncheonlakecity ,2023-08-07 00:00:00,2023-08-09 00:00:00,2026-08-01 00:00:00
춘천 하우스디 시그니처 98(임의공급 1차),구분없음,2023-07-19 00:00:00,,,,,2023-07-24 00:00:00,2023-07-25 00:00:00,,2023-07-28 00:00:00,,2023-07-29 00:00:00,2023-07-30 00:00:00,2024-11-01 00:00:00
파주 운정신도시 A39BL 호반써밋(임의공급 2차),구분없음,2023-07-05 00:00:00,,,,,2023-07-10 00:00:00,2023-07-11 00:00:00,,2023-07-14 00:00:00,,2023-07-20 00:00:00,2023-07-20 00:00:00,2024-11-01 00:00:00
평택 고덕국제신도시 A-49블록 호반써밋 3차(본청약),1순위,2023-07-21 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,,,인터넷,2023-08-08 00:00:00,http://www.ptgd3-hoban.co.kr/ ,2023-08-21 00:00:00,2023-08-23 00:00:00,2024-07-01 00:00:00
평택 고덕국제신도시 A-49블록 호반써밋 3차(본청약),2순위,2023-07-21 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,,,인터넷,2023-08-08 00:00:00,http://www.ptgd3-hoban.co.kr/ ,2023-08-21 00:00:00,2023-08-23 00:00:00,2024-07-01 00:00:00
평택 고덕국제신도시 A-49블록 호반써밋 3차(본청약),특별공급,2023-07-21 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,,,인터넷,2023-08-08 00:00:00,http://www.ptgd3-hoban.co.kr/ ,2023-08-21 00:00:00,2023-08-23 00:00:00,2024-07-01 00:00:00
평택 브레인시티 2BL 대광로제비앙 모아엘가,1순위,2023-06-30 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,,,인터넷,2023-07-18 00:00:00,http://평택브레인시티대광로제비앙모아엘가.com ,2023-07-31 00:00:00,2023-08-02 00:00:00,2026-08-01 00:00:00
평택 브레인시티 2BL 대광로제비앙 모아엘가,2순위,2023-06-30 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,,,인터넷,2023-07-18 00:00:00,http://평택브레인시티대광로제비앙모아엘가.com ,2023-07-31 00:00:00,2023-08-02 00:00:00,2026-08-01 00:00:00
평택 브레인시티 2BL 대광로제비앙 모아엘가,특별공급,2023-06-30 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,,,인터넷,2023-07-18 00:00:00,http://평택브레인시티대광로제비앙모아엘가.com ,2023-07-31 00:00:00,2023-08-02 00:00:00,2026-08-01 00:00:00
포레나 미아(무순위 7차),구분없음,2023-07-21 00:00:00,,,,,2023-07-26 00:00:00,2023-07-26 00:00:00,,2023-07-31 00:00:00,,2023-08-04 00:00:00,2023-08-07 00:00:00,2025-11-01 00:00:00
포레나 미아(임의공급 3차),구분없음,2023-07-20 00:00:00,,,,,2023-07-25 00:00:00,2023-07-25 00:00:00,,2023-07-28 00:00:00,,2023-08-02 00:00:00,2023-08-04 00:00:00,2025-11-01 00:00:00
해운대 경동리인뷰 2차,1순위,2023-06-22 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,,,인터넷,2023-07-12 00:00:00,http://www.해운대경동리인뷰2.com ,2023-07-24 00:00:00,2023-07-26 00:00:00,2024-06-01 00:00:00
해운대 경동리인뷰 2차,2순위,2023-06-22 00:00:00,2023-07-05 00:00:00,2023-07-05 00:00:00,2023-07-05 00:00:00,2023-07-05 00:00:00,,,인터넷,2023-07-12 00:00:00,http://www.해운대경동리인뷰2.com ,2023-07-24 00:00:00,2023-07-26 00:00:00,2024-06-01 00:00:00
해운대 경동리인뷰 2차,특별공급,2023-06-22 00:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,,,인터넷,2023-07-12 00:00:00,http://www.해운대경동리인뷰2.com ,2023-07-24 00:00:00,2023-07-26 00:00:00,2024-06-01 00:00:00
현대 프라힐스 소사역 더프라임(임의공급 2차),구분없음,2023-06-28 00:00:00,,,,,2023-07-03 00:00:00,2023-07-04 00:00:00,,2023-07-07 00:00:00,,2023-07-08 00:00:00,2023-07-09 00:00:00,2024-07-01 00:00:00
현대 프라힐스 소사역 더프라임(임의공급 3차),구분없음,2023-07-19 00:00:00,,,,,2023-07-24 00:00:00,2023-07-25 00:00:00,,2023-07-28 00:00:00,,2023-07-29 00:00:00,2023-07-29 00:00:00,2024-07-01 00:00:00
화곡 더리브 스카이 주상복합아파트 (임의공급 2차),구분없음,2023-07-05 00:00:00,,,,,2023-07-10 00:00:00,2023-07-10 00:00:00,,2023-07-13 00:00:00,,2023-07-14 00:00:00,2023-07-16 00:00:00,2023-07-01 00:00:00
효성해링턴 플레이스 제주,1순위,2023-06-22 00:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,,,인터넷,2023-07-10 00:00:00,http://www.효성해링턴플레이스제주.com ,2023-07-24 00:00:00,2023-07-26 00:00:00,2025-02-01 00:00:00
효성해링턴 플레이스 제주,2순위,2023-06-22 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,,,인터넷,2023-07-10 00:00:00,http://www.효성해링턴플레이스제주.com ,2023-07-24 00:00:00,2023-07-26 00:00:00,2025-02-01 00:00:00
힐스테이트 속초,1순위,2023-07-21 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,,,인터넷,2023-08-08 00:00:00,http://www.hillstate-sokcho.co.kr ,2023-08-21 00:00:00,2023-08-24 00:00:00,2026-05-01 00:00:00
힐스테이트 속초,2순위,2023-07-21 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,,,인터넷,2023-08-08 00:00:00,http://www.hillstate-sokcho.co.kr ,2023-08-21 00:00:00,2023-08-24 00:00:00,2026-05-01 00:00:00
힐스테이트 속초,특별공급,2023-07-21 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,,,인터넷,2023-08-08 00:00:00,http://www.hillstate-sokcho.co.kr ,2023-08-21 00:00:00,2023-08-24 00:00:00,2026-05-01 00:00:00
